Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid	28025 Brea de Tajo	De 85 a 89 años  	1 de enero de 2022	17
Total	28 Madrid	28025 Brea de Tajo	De 90 a 94 años  	1 de enero de 2022	9
Total	28 Madrid	28025 Brea de Tajo	De 95 a 99 años  	1 de enero de 2022	2
Total	28 Madrid	28025 Brea de Tajo	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28026 Brunete	De 65 a 69 años	1 de enero de 2022	420
Total	28 Madrid	28026 Brunete	De 70 a 74 años  	1 de enero de 2022	364
Total	28 Madrid	28026 Brunete	De 75 a 79 años  	1 de enero de 2022	279
Total	28 Madrid	28026 Brunete	De 80 a 84 años  	1 de enero de 2022	170
Total	28 Madrid	28026 Brunete	De 85 a 89 años  	1 de enero de 2022	136
Total	28 Madrid	28026 Brunete	De 90 a 94 años  	1 de enero de 2022	65
Total	28 Madrid	28026 Brunete	De 95 a 99 años  	1 de enero de 2022	23
Total	28 Madrid	28026 Brunete	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28027 Buitrago del Lozoya	De 65 a 69 años	1 de enero de 2022	92
Total	28 Madrid	28027 Buitrago del Lozoya	De 70 a 74 años  	1 de enero de 2022	74
Total	28 Madrid	28027 Buitrago del Lozoya	De 75 a 79 años  	1 de enero de 2022	56
Total	28 Madrid	28027 Buitrago del Lozoya	De 80 a 84 años  	1 de enero de 2022	61
Total	28 Madrid	28027 Buitrago del Lozoya	De 85 a 89 años  	1 de enero de 2022	43
Total	28 Madrid	28027 Buitrago del Lozoya	De 90 a 94 años  	1 de enero de 2022	30
Total	28 Madrid	28027 Buitrago del Lozoya	De 95 a 99 años  	1 de enero de 2022	14
Total	28 Madrid	28027 Buitrago del Lozoya	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28028 Bustarviejo	De 65 a 69 años	1 de enero de 2022	126
Total	28 Madrid	28028 Bustarviejo	De 70 a 74 años  	1 de enero de 2022	92
Total	28 Madrid	28028 Bustarviejo	De 75 a 79 años  	1 de enero de 2022	78
Total	28 Madrid	28028 Bustarviejo	De 80 a 84 años  	1 de enero de 2022	45
Total	28 Madrid	28028 Bustarviejo	De 85 a 89 años  	1 de enero de 2022	51
Total	28 Madrid	28028 Bustarviejo	De 90 a 94 años  	1 de enero de 2022	29
Total	28 Madrid	28028 Bustarviejo	De 95 a 99 años  	1 de enero de 2022	8
Total	28 Madrid	28028 Bustarviejo	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28029 Cabanillas de la Sierra	De 65 a 69 años	1 de enero de 2022	37
Total	28 Madrid	28029 Cabanillas de la Sierra	De 70 a 74 años  	1 de enero de 2022	18
Total	28 Madrid	28029 Cabanillas de la Sierra	De 75 a 79 años  	1 de enero de 2022	27
Total	28 Madrid	28029 Cabanillas de la Sierra	De 80 a 84 años  	1 de enero de 2022	28
Total	28 Madrid	28029 Cabanillas de la Sierra	De 85 a 89 años  	1 de enero de 2022	10
Total	28 Madrid	28029 Cabanillas de la Sierra	De 90 a 94 años  	1 de enero de 2022	8
Total	28 Madrid	28029 Cabanillas de la Sierra	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28029 Cabanillas de la Sierra	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28030 Cabrera, La	De 65 a 69 años	1 de enero de 2022	139
Total	28 Madrid	28030 Cabrera, La	De 70 a 74 años  	1 de enero de 2022	91
Total	28 Madrid	28030 Cabrera, La	De 75 a 79 años  	1 de enero de 2022	88
Total	28 Madrid	28030 Cabrera, La	De 80 a 84 años  	1 de enero de 2022	71
Total	28 Madrid	28030 Cabrera, La	De 85 a 89 años  	1 de enero de 2022	59
Total	28 Madrid	28030 Cabrera, La	De 90 a 94 años  	1 de enero de 2022	22
